Time (s),Voltage (mV),Voltage (V)
0.009999999776482582,-0.04971219226717949,0
0.019999999552965164,-0.04971219226717949,0
0.029999999329447746,-0.04971219226717949,0
0.03999999910593033,-0.04971219226717949,0
0.05000000074505806,-0.04997383803129196,0
0.05999999865889549,-0.049450550228357315,0
0.07000000029802322,-0.04918890818953514,0
0.07999999821186066,-0.049450550228357315,0
0.09000000357627869,-0.04971219226717949,0
0.10000000149011612,-0.04971219226717949,0
0.10999999940395355,-0.04971219226717949,0
0.11999999731779099,-0.04971219226717949,0
0.12999999523162842,-0.04971219226717949,0
0.14000000059604645,-0.04971219226717949,0
0.15000000596046448,-0.04971219226717949,0
0.1599999964237213,-0.04971219226717949,0
0.17000000178813934,-0.04971219226717949,0
0.18000000715255737,-0.04971219226717949,0
0.1899999976158142,-0.04971219226717949,0
0.20000000298023224,-0.04971219226717949,0
0.20999999344348907,-0.04971219226717949,0
0.2199999988079071,-0.04971219226717949,0
0.23000000417232513,-0.04971219226717949,0
0.23999999463558197,-0.049450550228357315,0
0.25,-0.049450550228357315,0
0.25999999046325684,-0.04971219226717949,0
0.27000001072883606,-0.04971219226717949,4.473426253501582e-18
0.2800000011920929,-0.04971219226717949,0.0008058608509600163
0.28999999165534973,-0.04997383803129196,0
0.30000001192092896,-0.04971219226717949,0
0.3100000023841858,-0.04971219226717949,0
0.3199999928474426,-0.049450550228357315,0
0.33000001311302185,-0.049450550228357315,0
0.3400000035762787,-0.04971219226717949,0
0.3499999940395355,-0.04971219226717949,0
0.36000001430511475,-0.049450550228357315,0
0.3700000047683716,-0.049450550228357315,0
0.3799999952316284,-0.049450550228357315,0
0.38999998569488525,-0.04971219226717949,0
0.4000000059604645,-0.04971219226717949,0
0.4099999964237213,-0.04997383430600166,0
0.41999998688697815,-0.04971219226717949,0
0.4300000071525574,-0.04971219226717949,0
0.4399999976158142,-0.049450550228357315,0
0.44999998807907104,-0.049450550228357315,0
0.46000000834465027,-0.049450550228357315,0
0.4699999988079071,-0.049450550228357315,0
0.47999998927116394,-0.04971219226717949,0
0.49000000953674316,-0.049450550228357315,0
0.5,-0.049450550228357315,0
0.5099999904632568,-0.049450550228357315,0
0.5199999809265137,-0.049450550228357315,0
0.5299999713897705,-0.049450550228357315,0
0.5400000214576721,-0.049450550228357315,0
0.550000011920929,-0.049450550228357315,0
0.5600000023841858,-0.049450550228357315,0
0.5699999928474426,-0.04971219226717949,0
0.5799999833106995,-0.049450550228357315,0
0.5899999737739563,-0.04971219226717949,0
0.6000000238418579,-0.04971219226717949,0
0.6100000143051147,-0.04971219226717949,0
0.6200000047683716,-0.04971219226717949,0
